anime_id,anime_video_url
24227,not available
1241,not available
35828,https://www.crunchyroll.com/how-to-keep-a-mummy/episode-1-white-round-tiny-wimpy-and-ready-759657
435,https://www.hulu.com/watch/632947
207,not available
10209,https://www.crunchyroll.com/is-this-a-zombie/episode-13-yes-this-is-a-1-miracle-727099
142,not available
2330,not available
5228,not available
5998,not available
36884,not available
33280,not available
18465,https://www.crunchyroll.com/genshiken-second-season/episode-1-the-other-side-of-the-path-the-promised-place-637185
356,https://view.yahoo.com/show/fate-stay-night/episode/60286250/sub-the-day-it-began
1477,not available
28771,not available
28285,not available
3974,not available
5538,not available
5277,not available
131,not available
28497,https://www.crunchyroll.com/rokka-braves-of-the-six-flowers-/episode-1-the-strongest-man-in-the-world-682217
490,not available
1212,not available
8246,not available
10075,not available
9181,https://view.yahoo.com/show/motto-to-loveru/episode/60141628/sub-once-again-from-here-bathroom-war
9834,https://www.crunchyroll.com/level-e/episode-1-an-alien-on-the-planet-568484
9023,not available
3674,not available
792,not available
10445,not available
10178,not available
1060,not available
5252,not available
31414,not available
28149,not available
31,not available
1424,not available
389,not available
33241,not available
35376,not available
36686,not available
31158,not available
31433,https://www.crunchyroll.com/legend-of-the-galactic-heroes-die-neue-these/episode-1-in-the-eternal-night-768377
23311,https://www.crunchyroll.com/garo-the-animation/episode-1-hell-fire-744479
906,not available
10703,not available
13837,not available
17121,not available
22839,not available
5244,not available
18893,https://www.crunchyroll.com/arpeggio-of-blue-steel/episode-1-those-with-shipping-routes-645673
5251,not available
12149,https://www.crunchyroll.com/akb0048/episode-1-the-indelible-dream-619173
2608,not available
181,https://www.crunchyroll.com/vandread/episode-14-red-angel-746641
31297,not available
12015,not available
31680,https://www.crunchyroll.com/super-lovers/episode-1-forest-green-702609
33969,not available
5355,https://www.crunchyroll.com/sengoku-basara-samurai-kings/episode-1-azure-and-crimson-a-fateful-encounter-756617
130,not available
165,not available
9124,not available
1091,not available
35078,not available
3468,not available
1454,not available
1021,not available
36824,not available
6399,not available
134,https://www.crunchyroll.com/gunslinger-girl/episode-1-fratello-siblings-748183
6291,not available
5096,not available
6325,not available
20221,not available
10110,https://view.yahoo.com/show/mayo-chiki/episode/60252821/sub-the-end-of-the-earth
6707,https://www.crunchyroll.com/black-butler-season-2/episode-26-clawed-butler-755857
2204,not available
1852,https://www.hulu.com/watch/394658
4061,not available
31389,not available
32930,not available
25731,https://view.yahoo.com/show/cross-ange-rondo-of-angels-and-dragons/episode/60469740/sub-fallen-princess
1475,not available
10479,not available
34792,not available
4189,not available
10798,https://www.crunchyroll.com/un-go/episode-1-murder-at-the-ball-586006
2129,https://www.crunchyroll.com/true-tears/episode-1-i-gave-away-my-tears-738429
10294,not available
21737,not available
1577,not available
959,not available
29786,not available
20671,not available
21573,https://www.crunchyroll.com/symphogear/episode-1-683489
11499,not available
14267,not available
1203,not available
14575,not available
76,not available
30829,not available
15591,not available
9865,not available
35321,not available
1391,not available
17535,not available
21395,not available
15199,not available
1476,not available
17269,not available
1327,not available
68,https://www.crunchyroll.com/black-cat/episode-1-the-solitary-cat-737925
798,not available
183,not available
10713,not available
1006,not available
2216,not available
25755,not available
20977,not available
36470,not available
8726,not available
960,not available
30187,https://www.crunchyroll.com/beautiful-bones-sakurakos-investigation-/episode-1-the-princess-who-loves-bones-686393
34494,https://www.crunchyroll.com/sakura-quest/episode-1-off-to-magical-manoyama-733649
16123,https://www.crunchyroll.com/saki/episode-1-hand-1-to-tokyo-648565
13429,not available
1010,not available
4921,not available
770,not available
8460,not available
520,not available
3469,not available
2954,not available
10624,not available
3268,not available
3358,not available
489,not available
9938,https://www.hulu.com/watch/371759
8768,not available
31665,not available
5929,not available
1825,not available
31324,not available
242,not available
19193,not available
23703,not available
2656,not available
15583,not available
16592,https://www.crunchyroll.com/danganronpa-the-animation/episode-1-prologue-welcome-to-despair-high-school-738575
3744,not available
